Title,ID,Popularity,Duration,Release Date,Album,Album Cover,Spotify URL
SEXY SHOP,0GgIXlhkacCRh30t2Se92q,76,3.14,2024-05-31,SEXY SHOP,"<img src=""https://i.scdn.co/image/ab67616d0000b27392e8871054eea6af37849904"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/0GgIXlhkacCRh30t2Se92q"" target=""_blank"">https://open.spotify.com/track/0GgIXlhkacCRh30t2Se92q</a>"
Moneylove (feat. Emis Killa),2gGq8fqoGuKpCjuV7p2dd3,63,2.88,2023-12-01,Le cose cambiano,"<img src=""https://i.scdn.co/image/ab67616d0000b2735f6fb9109b83fb4f425b3eaf"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/2gGq8fqoGuKpCjuV7p2dd3"" target=""_blank"">https://open.spotify.com/track/2gGq8fqoGuKpCjuV7p2dd3</a>"
Rollercoaster,4WJj8NsyCm3YAADCOe0hrf,54,3.46,2018-10-12,Supereroe,"<img src=""https://i.scdn.co/image/ab67616d0000b273402bbf743838dd9f7f0fa376"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf"" target=""_blank"">https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf</a>"
Fuoco e benzina,4Fs1sEg9Mwn6vykFD89xvc,56,3.49,2018-10-12,Supereroe,"<img src=""https://i.scdn.co/image/ab67616d0000b273402bbf743838dd9f7f0fa376"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc"" target=""_blank"">https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc</a>"
ON FIRE - paid in full,2pGbOFiWVwZaTq3iKi5sGb,56,2.93,2023-05-19,Effetto notte,"<img src=""https://i.scdn.co/image/ab67616d0000b27329df67b7e1d45411f2ac4a92"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/2pGbOFiWVwZaTq3iKi5sGb"" target=""_blank"">https://open.spotify.com/track/2pGbOFiWVwZaTq3iKi5sGb</a>"
Mon Fre - feat. Emis Killa,4dDMgEj5GpBTI1lvVlYPu7,56,3.74,2019-07-19,Mon Fre (feat. Emis Killa),"<img src=""https://i.scdn.co/image/ab67616d0000b273ec00bb32b8a53a1d5ac72282"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7"" target=""_blank"">https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7</a>"
Parole di ghiaccio,1mItEeAlTepKfWUOpu8h6b,55,3.86,2012-02-07,L'erba cattiva,"<img src=""https://i.scdn.co/image/ab67616d0000b273343ada3f2f036a4979857eec"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/1mItEeAlTepKfWUOpu8h6b"" target=""_blank"">https://open.spotify.com/track/1mItEeAlTepKfWUOpu8h6b</a>"
"Il Doc 4 (feat. Ernia, Emis Killa, Niky Savage & Andry The Hitmaker)",03eFDbrmDPnbIHXbgXbfP3,55,3.61,2024-02-14,"Il Doc 4 (feat. Ernia, Emis Killa, Niky Savage & Andry The Hitmaker)","<img src=""https://i.scdn.co/image/ab67616d0000b2734659d7106215a9e6f1b30aa1"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/03eFDbrmDPnbIHXbgXbfP3"" target=""_blank"">https://open.spotify.com/track/03eFDbrmDPnbIHXbgXbfP3</a>"
Quella foto di noi due,10hc6GvyWhe2E48PAfQrdD,55,3.25,2018-10-12,Supereroe,"<img src=""https://i.scdn.co/image/ab67616d0000b273402bbf743838dd9f7f0fa376"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/10hc6GvyWhe2E48PAfQrdD"" target=""_blank"">https://open.spotify.com/track/10hc6GvyWhe2E48PAfQrdD</a>"
Due principi (feat. Emis Killa),5YdpLxge3UzTHymkQ6XCf4,55,3.52,2024-01-26,Piccolo principe,"<img src=""https://i.scdn.co/image/ab67616d0000b273aefbb806105b469d96455f73"" alt=""Cover Image"" style=""max-height: 80px; max-width: 80px;"">","<a href=""https://open.spotify.com/track/5YdpLxge3UzTHymkQ6XCf4"" target=""_blank"">https://open.spotify.com/track/5YdpLxge3UzTHymkQ6XCf4</a>"
